#---------------------------------
# energy    mu
4.070556900000000041e+03 1.479248733333333177e-01
4.075242799999999988e+03 1.477286200000000049e-01
4.080005400000000009e+03 1.476953466666666992e-01
4.084845200000000204e+03 1.483757033333333586e-01
4.089756699999999910e+03 1.500850666666666555e-01
4.094746399999999994e+03 1.516551400000000216e-01
4.099815400000000409e+03 1.539958500000000174e-01
4.104950700000000325e+03 1.547371321142392286e-01
4.110172899999999572e+03 1.547605866666666719e-01
4.115475999999999658e+03 1.537847417605254785e-01
4.120847399999999652e+03 1.523406488611387666e-01
4.126281200000000354e+03 1.530622567385410138e-01
4.131810800000000199e+03 1.538460784470605247e-01
4.137404000000000451e+03 1.549589233333333038e-01
4.143094600000000355e+03 1.560159666666666445e-01
4.148836299999999937e+03 1.556411625418170630e-01
4.154676900000000387e+03 1.570674199999999854e-01
4.160583300000000236e+03 1.571668700000000141e-01
4.166563199999999597e+03 1.569742719423072586e-01
4.172609900000000380e+03 1.581598633333333448e-01
