#  tricabonyl cyclopentadienyl manganese
#  COMPOUND ON TAPE, IN TRANSMISSION, STP
#  BNL NSLS X19A EX
#  SCAN FILE : MN03       SCAN PARAMETERS FOR MN08   .002
#  CRYSTAL SET 311 EDGE IS   6.540 KeV
#  REPEAT 10 TIMES THE 4 REGION SCAN WITH REST TIME:   0.500
#  SCAN START FROM   6.340 KeV, STOP AT(KeV OR -1/A): 6.520  6.570  6.900  7.200
#  STEP SIZE FOR EACH REGION(eV OR 1/A):  10.00   0.70   1.50   3.00
#  COLLECTING TIME FOR EACH REGION(SEC):   2.0    2.0    2.0    2.0
#  SCAN STARTED: 05:04:43  5-NOV-95 SCAN FINISHED: 05:27:40
#  # OF DATA POINTS COLLECTED : 409
#--------------
#  E        xmu(trans)
 6986.96   -1.899645
 6989.99   -1.904577
 6992.97   -1.909457
 6995.96   -1.914484
 6998.99   -1.919557
 7001.98   -1.924473
 7004.97   -1.929422
 7007.97   -1.933995
 7010.96   -1.939100
 7013.96   -1.944120
 7016.96   -1.948953
 7019.96   -1.953904
 7022.96   -1.958610
 7025.96   -1.963442
 7028.96   -1.968456
 7031.97   -1.973644
 7034.98   -1.978246
 7037.99   -1.983477
 7041.00   -1.988293
 7043.96   -1.993035
 7046.98   -1.998109
 7049.99   -2.002844
 7052.96   -2.007597
 7055.98   -2.012490
 7058.96   -2.017331
 7061.98   -2.022323
 7064.96   -2.027011
 7067.98   -2.032014
 7070.96   -2.036927
 7073.99   -2.041751
 7076.97   -2.046538
 7079.96   -2.051322
 7082.99   -2.056183
 7085.98   -2.060856
 7088.97   -2.065588
 7091.96   -2.070461
 7095.00   -2.075292
 7097.99   -2.080188
 7100.99   -2.085031
 7103.98   -2.090042
 7106.98   -2.094700
 7109.98   -2.099534
 7112.98   -2.104489
 7115.99   -2.109145
 7118.99   -2.113947
 7122.00   -2.118512
 7124.96   -2.123164
 7127.97   -2.127877
 7130.98   -2.132710
 7133.99   -2.137489
 7136.96   -2.142190
 7139.97   -2.147037
 7142.99   -2.151645
 7145.96   -2.156356
 7148.98   -2.161049
 7151.95   -2.165570
 7154.98   -2.170468
 7157.95   -2.174918
 7160.98   -2.179286
 7163.96   -2.183933
 7166.99   -2.188533
 7169.97   -2.192829
 7172.96   -2.197376
 7175.99   -2.201884
 7178.98   -2.206387
 7181.97   -2.211135
 7184.96   -2.215534
 7187.99   -2.220227
 7190.99   -2.224826
 7193.98   -2.229335
 7196.98   -2.233870
