# XDI/1.0  GSE/1.0
# Beamline.name:  13-ID-E, GSECARS
# Monochromator.name:  Si(111), LN2 Cooled
# Monochromator.dspacing:  3.13477
# Facility.name: APS
# Facility.xray_source: 3.6 cm undulator
# Detectors.i0:  20cm ion chamber, He
# Detectors.ifluor:  Si SDD Vortex ME-4, 4 elements
# Detectors.ifluor_electronics:  Quantum Xspress3 3.1.10
# Column.1: energy eV
# Column.2: mufluor
# Column.3: i0
# Column.4: ifluor (corrected for deadtime)
# Column.5: ifluor_raw (not corrected)
# Column.7: itrans 
# Column.8: irefer 
# Scan.start_time: 2015-03-26 13:01:58
# ///
# summed fe_ka fluorescence data from FeXAFS_REL_Map1_spot4_V_Fe_Ca_Sr.002
# Dead-time correction applied
#---------------------------------
#        energy         mufluor         i0          fluor_dtc        fluor_raw        counttime        itrans         irefer 
      7116.611      1.89802962     272365.000     516956.83618      504545.00          1.000         16.000        -78.000
      7116.817      1.92962494     272347.000     525527.56433      512724.00          1.000         16.000        -78.000
      7117.007      1.97359864     272582.000     537967.46395      524556.00          1.000         16.000        -77.000
      7117.200      2.01596499     272571.000     549493.59438      535490.00          1.000         17.000        -77.000
      7117.410      2.05915448     272365.000     560841.61085      546271.00          1.000         16.000        -78.000
      7117.610      2.10061381     271995.000     571356.45223      556206.00          1.000         16.000        -78.000
      7117.806      2.16058857     271917.000     587500.76293      571462.00          1.000         17.000        -77.000
      7118.006      2.23426963     271824.000     607328.10688      590216.00          1.000         16.000        -77.000
      7118.206      2.31791573     271910.000     630264.46529      611830.00          1.000         16.000        -77.000
      7118.406      2.41317085     271992.000     656363.16629      636377.00          1.000         16.000        -76.000
      7118.596      2.52268030     272171.000     686600.41946      664742.00          1.000         16.000        -76.000
      7118.809      2.63862047     271820.000     717229.81721      693325.00          1.000         16.000        -76.000
      7119.015      2.77021455     271520.000     752168.65563      725876.00          1.000         16.000        -76.000
      7119.212      2.92649632     271821.000     795483.15462      766098.00          1.000         16.000        -76.000
      7119.412      3.08896436     271814.000     839623.75859      806806.00          1.000         16.000        -76.000
      7119.612      3.27961437     271904.000     891740.26410      854696.00          1.000         16.000        -75.000
      7119.808      3.49499799     271645.000     949398.72747      907401.00          1.000         16.000        -75.000
      7120.002      3.71493967     271468.000    1008487.24171      961033.00          1.000         16.000        -76.000
      7120.202      3.96403566     271049.000    1074447.90154     1020501.00          1.000         16.000        -76.000
      7120.395      4.23209132     271067.000    1147180.29724     1085569.00          1.000         16.000        -76.000
      7120.612      4.52191026     271120.000    1225980.30950     1155579.00          1.000         16.000        -75.000
      7120.808      4.81415313     271319.000    1306171.21287     1226219.00          1.000         17.000        -76.000
      7121.015      5.13870428     271273.000    1393991.72619     1302756.00          1.000         16.000        -77.000
      7121.202      5.46070592     271273.000    1481342.07580     1378107.00          1.000         16.000        -76.000
      7121.405      5.79082507     271290.000    1570992.93369     1454715.00          1.000         16.000        -76.000
      7121.602      6.12938209     271261.000    1662662.31358     1531998.00          1.000         16.000        -76.000
      7121.805      6.43437910     271217.000    1745112.99522     1601091.00          1.000         16.000        -75.000
      7122.005      6.77483501     271418.000    1838812.16699     1678449.00          1.000         16.000        -77.000
      7122.209      7.07028670     271330.000    1918380.89047     1743871.00          1.000         16.000        -77.000
      7122.399      7.34147386     270894.000    1988761.21828     1800690.00          1.000         17.000        -77.000
      7122.602      7.60673196     270679.000    2058982.59849     1857210.00          1.000         16.000        -76.000
      7122.812      7.83329424     270736.000    2120754.74922     1906547.00          1.000         16.000        -77.000
      7123.003      8.06446103     270741.000    2183380.24252     1955865.00          1.000         16.000        -76.000
      7123.203      8.27159962     270848.000    2240346.21170     2000305.00          1.000         16.000        -76.000
      7123.410      8.47905082     270601.000    2294439.63104     2042772.00          1.000         16.000        -78.000
      7123.603      8.66643706     270739.000    2346342.50092     2082902.00          1.000         17.000        -78.000
      7123.807      8.82327627     270262.000    2384596.29011     2111946.00          1.000         17.000        -78.000
      7124.017      8.99646243     270366.000    2432337.55930     2148326.00          1.000         16.000        -78.000
      7124.210      9.17118817     270213.000    2478174.26809     2183007.00          1.000         17.000        -79.000
      7124.411      9.34101582     270060.000    2522634.73193     2216586.00          1.000         17.000        -78.000
      7124.598      9.50847024     269990.000    2567191.87951     2250058.00          1.000         16.000        -78.000
      7124.814      9.67538540     270010.000    2612450.81100     2283772.00          1.000         17.000        -77.000
      7125.015      9.82769712     269779.000    2651306.29964     2312355.00          1.000         17.000        -81.000
      7125.202      9.96756450     269948.000    2690724.10073     2341332.00          1.000         17.000        -89.000
      7125.415     10.13645912     270146.000    2738323.88563     2376334.00          1.000         17.000        -90.000
      7125.599     10.26468528     270011.000    2771577.93689     2400039.00          1.000         16.000        -90.000
      7125.799     10.41847037     269883.000    2811768.03689     2429696.00          1.000         17.000        -88.000
      7126.003     10.55313334     269931.000    2848617.83352     2455845.00          1.000         16.000        -88.000
      7126.213     10.66504000     269729.000    2876670.57333     2475941.00          1.000         16.000        -88.000
      7126.407     10.79574238     269510.000    2909560.52772     2499620.00          1.000         17.000        -87.000
      7126.601     10.88923310     269103.000    2930325.29342     2513910.00          1.000         16.000        -88.000
      7126.808     10.98483201     269183.000    2956930.03455     2533131.00          1.000         16.000        -87.000
      7127.011     11.08678614     268993.000    2982267.86367     2550913.00          1.000         17.000        -87.000
      7127.202     11.14877013     269340.000    3002809.74689     2564739.00          1.000         17.000        -88.000
      7127.402     11.23571827     269304.000    3025823.87242     2581339.00          1.000         17.000        -86.000
      7127.606     11.32144559     269139.000    3047042.54465     2596470.00          1.000         17.000        -86.000
      7127.806     11.36959774     268742.000    3055488.43473     2601935.00          1.000         16.000        -87.000
      7128.000     11.43320062     268675.000    3071815.17518     2613816.00          1.000         17.000        -87.000
      7128.207     11.45648582     269000.000    3081794.68433     2620093.00          1.000         16.000        -86.000
      7128.404     11.50663694     269149.000    3096999.82587     2630355.00          1.000         16.000        -87.000
      7128.608     11.53690239     268992.000    3103334.44604     2634972.00          1.000         17.000        -87.000
      7128.812     11.56378608     269027.000    3110970.67566     2639787.00          1.000         16.000        -87.000
      7129.006     11.59402099     268869.000    3117272.82752     2644668.00          1.000         17.000        -86.000
      7129.206     11.60120527     268531.000    3115283.25001     2642790.00          1.000         16.000        -87.000
      7129.403     11.62038619     266946.000    3102015.61088     2633583.00          1.000         17.000        -88.000
      7129.611     11.60894101     270504.000    3140264.97688     2659991.00          1.000         17.000        -88.000
      7129.801     11.61831681     270279.000    3140187.04885     2659985.00          1.000         16.000        -88.000
      7130.008     11.63590524     270325.000    3145476.08156     2663704.00          1.000         16.000        -86.000
      7130.212     11.61943777     270352.000    3141338.24000     2661007.00          1.000         17.000        -86.000
      7130.406     11.59205368     270508.000    3135743.25644     2656282.00          1.000         16.000        -87.000
      7130.603     11.60872060     270423.000    3139265.04900     2659587.00          1.000         17.000        -86.000
      7130.814     11.61622251     270265.000    3139458.37435     2660210.00          1.000         16.000        -87.000
      7131.015     11.61437038     270275.000    3139073.95363     2659538.00          1.000         17.000        -88.000
      7131.209     11.62052238     269976.000    3137262.14803     2657985.00          1.000         17.000        -88.000
      7131.406     11.62734957     269943.000    3138721.62294     2659682.00          1.000         17.000        -89.000
      7131.607     11.61951428     269980.000    3137036.46406     2658318.00          1.000         17.000        -87.000
      7131.817     11.61075787     270222.000    3137482.21242     2658440.00          1.000         17.000        -87.000
      7132.011     11.61001556     270227.000    3137339.67423     2658092.00          1.000         16.000        -87.000
      7132.212     11.58685372     269933.000    3127674.18503     2651265.00          1.000         16.000        -89.000
      7132.409     11.59121899     270065.000    3130382.55437     2653484.00          1.000         16.000        -88.000
      7132.607     11.57589226     270013.000    3125641.39569     2649725.00          1.000         16.000        -89.000
      7132.814     11.57490873     269881.000    3123847.94091     2648808.00          1.000         17.000        -90.000
      7133.005     11.56205686     270099.000    3122899.99367     2647965.00          1.000         17.000        -89.000
      7133.219     11.56710332     270318.000    3126796.23299     2651112.00          1.000         17.000        -89.000
      7133.413     11.55625520     270084.000    3121159.62751     2647120.00          1.000         17.000        -90.000
      7133.614     11.53278473     269778.000    3111291.59749     2640044.00          1.000         16.000        -89.000
      7133.811     11.52200974     270002.000    3110965.67379     2639990.00          1.000         16.000        -88.000
      7134.012     11.52197443     270045.000    3111451.58418     2640658.00          1.000         17.000        -89.000
      7134.203     11.51355953     270102.000    3109835.45574     2638901.00          1.000         16.000        -89.000
      7134.400     11.50377648     270035.000    3106422.27933     2637501.00          1.000         16.000        -90.000
      7134.611     11.49262494     270264.000    3106042.78496     2636627.00          1.000         17.000        -88.000
      7134.805     11.48979482     270190.000    3104427.66207     2636045.00          1.000         17.000        -89.000
      7135.006     11.49270308     270278.000    3106224.80227     2637229.00          1.000         16.000        -89.000
      7135.207     11.47478930     270384.000    3102599.42752     2634504.00          1.000         16.000        -89.000
      7135.405     11.48846623     270056.000    3102529.23572     2635018.00          1.000         17.000        -89.000
      7135.609     11.45216305     270207.000    3094454.62118     2628962.00          1.000         17.000        -91.000
      7135.810     11.46261924     270250.000    3097772.84816     2631536.00          1.000         17.000        -91.000
      7136.011     11.43691073     270236.000    3090665.00724     2626661.00          1.000         17.000        -91.000
      7136.208     11.41768844     270175.000    3084773.97295     2622033.00          1.000         16.000        -91.000
      7136.416     11.41290238     270278.000    3084656.42813     2622361.00          1.000         16.000        -91.000
      7136.610     11.38443438     270491.000    3079387.03784     2618266.00          1.000         17.000        -92.000
      7136.818     11.36203411     270565.000    3074168.75642     2614445.00          1.000         17.000        -91.000
      7137.022     11.33532573     270417.000    3065264.77735     2607716.00          1.000         17.000        -90.000
      7140.018     11.10735006     270735.000    3007148.41621     2567875.00          1.000         17.000        -91.000
      7143.007     10.94160157     271091.000    2966169.71038     2538980.00          1.000         17.000        -90.000
      7146.021     10.85218356     271288.000    2944067.17216     2523073.00          1.000         16.000        -79.000
      7149.018     10.67538954     271489.000    2898250.83074     2490760.00          1.000         16.000        -90.000
      7152.008     10.42691286     271673.000    2832710.69700     2444228.00          1.000         16.000        -90.000
      7155.011     10.29584626     270806.000    2788176.94132     2412366.00          1.000         16.000        -89.000
      7158.016     10.21059320     270340.000    2760331.76379     2392159.00          1.000         16.000        -90.000
      7161.004     10.22700899     269528.000    2756465.27667     2388994.00          1.000         17.000        -88.000
      7164.014     10.35851225     269506.000    2791681.20091     2415244.00          1.000         17.000        -88.000
      7167.004     10.53489386     268915.000    2832990.98014     2444543.00          1.000         17.000        -90.000
      7170.010     10.71132324     267820.000    2868706.58997     2469829.00          1.000         16.000        -90.000
      7173.015     10.89266369     267719.000    2916173.02847     2504067.00          1.000         17.000        -90.000
      7176.006     11.03174111     267044.000    2945960.27283     2525038.00          1.000         17.000        -90.000
      7179.016     11.03865947     266950.000    2946770.14349     2525377.00          1.000         16.000        -91.000
      7182.009     11.03577526     266541.000    2941486.57229     2521873.00          1.000         16.000        -90.000
      7185.004     11.04487426     265780.000    2935506.67972     2517117.00          1.000         16.000        -89.000
      7188.006     11.06039466     265200.000    2933216.66324     2515747.00          1.000         16.000        -89.000
      7191.000     11.07282428     264395.000    2927599.37510     2512045.00          1.000         16.000        -90.000
      7194.006     11.09558839     264440.000    2934117.39340     2516881.00          1.000         16.000        -90.000
      7196.999     11.07480232     264272.000    2926760.15838     2511269.00          1.000         16.000        -90.000
      7200.004     11.09658140     263156.000    2920131.97343     2506839.00          1.000         16.000        -89.000
      7203.005     11.10066086     262530.000    2914256.49437     2502604.00          1.000         16.000        -91.000
      7205.998     11.05546543     263418.000    2912208.59180     2501208.00          1.000         15.000        -90.000
      7209.011     11.07075298     263978.000    2922435.22939     2508901.00          1.000         16.000        -89.000
      7212.000     11.03592898     262820.000    2900462.85341     2493411.00          1.000         15.000        -89.000
      7215.005     10.99884708     262930.000    2891926.86169     2487184.00          1.000         16.000        -89.000
      7217.988     11.00089744     263477.000    2898483.45320     2491980.00          1.000         16.000        -89.000
      7220.995     11.00536601     262586.000    2889855.03729     2485903.00          1.000         16.000        -89.000
      7223.990     10.99569811     262894.000    2890703.05716     2485912.00          1.000         16.000        -88.000
      7226.995     11.01225624     262473.000    2890419.93010     2485518.00          1.000         16.000        -91.000
      7230.000     11.04683035     261793.000    2891982.85594     2486895.00          1.000         16.000        -89.000
      7232.993     11.05888335     261556.000    2892517.29207     2487005.00          1.000         16.000        -90.000
      7235.995     11.07045187     261161.000    2891170.28037     2486317.00          1.000         16.000        -88.000
      7238.994     11.08801129     261326.000    2897585.63765     2490904.00          1.000         16.000        -89.000
      7241.991     11.13342807     257522.000    2867102.66207     2469021.00          1.000         16.000        -89.000
      7245.002     11.14000344     259323.000    2888859.11174     2484112.00          1.000         16.000        -89.000
      7247.991     11.15141808     259321.000    2891796.88563     2486518.00          1.000         16.000        -88.000
      7251.006     11.15822798     259097.000    2891063.39489     2486150.00          1.000         15.000        -89.000
      7254.004     11.18565533     257875.000    2884500.86680     2481700.00          1.000         15.000        -89.000
      7256.997     11.22692001     256712.000    2882085.08818     2479425.00          1.000         16.000        -89.000
      7259.990     11.25180960     257858.000    2901369.11756     2493854.00          1.000         16.000        -81.000
      7262.996     11.29714382     257673.000    2910968.93850     2500954.00          1.000         16.000        -77.000
      7266.004     11.48022316     232489.000    2669025.60170     2326370.00          1.000         16.000        -77.000
      7268.994     11.39478500     254569.000    2900759.02269     2493640.00          1.000         16.000        -77.000
