#XDI/1.1    Epics StepScan File / 2.0
# Scan.start_time: 2014-10-06 15:03:40
# Legend.Start: Column.N: Name  units || EpicsPV
# Column.1: Energy eV  ||  13IDE:En:Energy.VAL
# Column.2: Energy_readback eV  ||  13IDE:En:E_RBV.VAL
# Column.3: TSCALER counts  ||  13IDE:SIS1:mca1.VAL
# Column.4: I0 counts  ||  13IDE:SIS1:mca2.VAL
# Column.5: I1 counts  ||  13IDE:SIS1:mca3.VAL
# Column.6: I2 counts  ||  13IDE:SIS1:mca4.VAL
# Column.7: Ca_Ka_mca1 counts  ||  13QX4:C1_ROI1:ArrayData_RBV
# Column.8: Ca_Ka_mca2 counts  ||  13QX4:C2_ROI1:ArrayData_RBV
# Column.9: Ca_Ka_mca3 counts  ||  13QX4:C3_ROI1:ArrayData_RBV
# Column.10: Ca_Ka_mca4 counts  ||  13QX4:C4_ROI1:ArrayData_RBV
# Column.11: V_Ka_mca1 counts  ||  13QX4:C1_ROI2:ArrayData_RBV
# Column.12: V_Ka_mca2 counts  ||  13QX4:C2_ROI2:ArrayData_RBV
# Column.13: V_Ka_mca3 counts  ||  13QX4:C3_ROI2:ArrayData_RBV
# Column.14: V_Ka_mca4 counts  ||  13QX4:C4_ROI2:ArrayData_RBV
# Column.15: OCR_mca1 counts  ||  13QX4:C1_ROI3:ArrayData_RBV
# Column.16: OCR_mca2 counts  ||  13QX4:C2_ROI3:ArrayData_RBV
# Column.17: OCR_mca3 counts  ||  13QX4:C3_ROI3:ArrayData_RBV
# Column.18: OCR_mca4 counts  ||  13QX4:C4_ROI3:ArrayData_RBV
# Column.19: Clock_mca1 counts  ||  13QX4:C1_SCA0:ArrayData_RBV
# Column.20: Clock_mca2 counts  ||  13QX4:C2_SCA0:ArrayData_RBV
# Column.21: Clock_mca3 counts  ||  13QX4:C3_SCA0:ArrayData_RBV
# Column.22: Clock_mca4 counts  ||  13QX4:C4_SCA0:ArrayData_RBV
# Legend.End: here
# Scan.end_time: 2014-10-06 15:14:01
# ExtraPVs.Start: Family.Member: Value | PV
# Facility.Ring_Current: 101.8  ||  S:SRcurrentAI.VAL
# Facility.Ring_Lifetime: 8.5  ||  S:SRlifeTimeHrsCC.VAL
# Mono.dspacing: 3.13477  ||  13IDE:En:dspace.VAL
# Mono.height: 26.00000  ||  13IDE:En:height.VAL
# Beamline.I0_Sensitivity_Number: 5  ||  13IDE:A1sens_num.VAL
# Beamline.I0_Sensitivity_Units: nA/V  ||  13IDE:A1sens_unit.VAL
# ExtraPVs.End: here
# ------------------------
# Energy	Energy_readback	TSCALER	I0	I1	I2	Ca_Ka_mca1	Ca_Ka_mca2	Ca_Ka_mca3	Ca_Ka_mca4	V_Ka_mca1	V_Ka_mca2	V_Ka_mca3	V_Ka_mca4	OCR_mca1	OCR_mca2	OCR_mca3	OCR_mca4	Clock_mca1	Clock_mca2	Clock_mca3	Clock_mca4
    5461.300000     5461.301080  45000000.000000   174352.000000    63674.000000     8291.000000    39451.984127    40394.028791    39842.254582    45652.612903      442.479992      551.088168      583.428988      522.139012    57018.282714    59835.258083    59442.262354    63442.018707  71911483.000000  71911483.000000  71911483.000000  71911483.000000
    5461.400000     5461.398398  45000000.000000   173454.000000    63356.000000     8258.000000    38769.228884    40109.244506    40029.858577    45546.023475      416.067497      612.876645      611.831943      563.710970    56099.319437    59826.030256    59715.027168    63409.406191  71911485.000000  71911485.000000  71911485.000000  71911485.000000
    5461.500000     5461.501334  45000000.000000   173253.000000    63285.000000     8248.000000    39071.233307    40155.354107    39823.957303    45226.216143      409.010653      585.508034      625.997391      602.193399    56502.997093    59529.611674    59545.983906    63041.562008  71911476.000000  71911476.000000  71911476.000000  71911476.000000
    5461.600000     5461.600530  45000000.000000   173840.000000    63502.000000     8277.000000    38635.509552    40308.019410    39951.369897    45732.782696      488.949515      590.605404      628.025293      552.569617    56086.000076    59960.577680    59555.865387    63507.364740  71911477.000000  71911477.000000  71911477.000000  71911477.000000
    5461.700000     5461.699731  45000000.000000   172774.000000    63138.000000     8238.000000    38750.427568    40071.845190    39798.138966    45351.505675      452.519509      545.994777      589.512599      548.481732    56161.728362    59484.309807    59395.897199    63122.486299  71911481.000000  71911481.000000  71911481.000000  71911481.000000
    5461.800000     5461.800808  45000000.000000   169632.000000    61982.000000     8096.000000    37660.743878    39166.859803    39139.014420    44466.077847      404.855108      575.205818      580.314076      631.425156    54825.772173    58298.528597    58425.728246    61848.837939  71911484.000000  71911484.000000  71911484.000000  71911484.000000
    5461.900000     5461.901888  45000000.000000   172430.000000    63021.000000     8225.000000    38362.814020    39776.568938    39688.080082    45241.740302      446.433962      608.744006      655.348357      623.487136    56050.080087    59163.473335    59422.704185    63089.685340  71911486.000000  71911486.000000  71911486.000000  71911486.000000
    5462.000000     5462.001101  45000000.000000   171424.000000    62617.000000     8177.000000    38499.889047    39557.292011    39697.611444    45269.582106      427.174385      547.964700      604.647077      615.343306    55853.357224    58996.111165    59008.156937    62918.172103  71911483.000000  71911483.000000  71911483.000000  71911483.000000
    5462.100000     5462.096573  45000000.000000   171941.000000    62831.000000     8201.000000    38569.408425    40173.402665    39601.411106    45278.186989      436.296005      600.713236      628.963425      615.363882    55939.405759    59635.099969    58998.004788    62974.613266  71911484.000000  71911484.000000  71911484.000000  71911484.000000
    5462.200000     5462.201409  45000000.000000   171417.000000    62666.000000     8187.000000    38403.440630    39650.697579    39288.342638    45108.514692      424.138216      629.010942      626.915338      619.425907    55844.843012    59151.883000    58866.677522    63058.636516  71911480.000000  71911480.000000  71911480.000000  71911480.000000
    5462.300000     5462.300634  45000000.000000   172101.000000    62911.000000     8211.000000    38552.167261    39924.133321    39898.967269    45395.096932      490.957077      639.197082      696.881506      683.305533    55922.108091    59617.759203    59455.442013    63117.358209  71911475.000000  71911475.000000  71911475.000000  71911475.000000
    5462.400000     5462.397990  45000000.000000   171783.000000    62800.000000     8204.000000    39107.844249    39890.679307    39502.039086    45099.577378      510.256508      574.359783      670.529517      683.272082    56524.517882    59492.614462    59225.836841    62830.037147  71911488.000000  71911488.000000  71911488.000000  71911488.000000
    5462.500000     5462.500966  45000000.000000   171984.000000    62869.000000     8206.000000    38785.332894    40028.993185    39978.188084    45256.767140      500.129541      610.836629      668.563940      625.507064    56456.921029    59663.037495    59715.033453    63051.841455  71911483.000000  71911483.000000  71911483.000000  71911483.000000
    5462.600000     5462.600202  45000000.000000   172617.000000    63110.000000     8235.000000    38769.965099    40290.036009    39796.843453    44992.900551      517.321512      651.370398      702.961449      684.278826    56316.453429    59636.299063    59466.824788    62806.405488  71911486.000000  71911486.000000  71911486.000000  71911486.000000
    5462.700000     5462.703187  45000000.000000   172107.000000    62946.000000     8218.000000    38971.007717    40221.633578    39570.432475    45335.256562      498.081281      645.275273      671.530270      713.755592    56257.076935    59685.561927    59176.413554    63325.045057  71911482.000000  71911482.000000  71911482.000000  71911482.000000
    5462.800000     5462.800558  45000000.000000   172766.000000    63159.000000     8237.000000    38751.121314    39983.096487    39564.231920    45484.935261      524.419740      632.134204      732.315422      696.534440    56368.700165    59765.439898    59288.124083    63501.722966  71911470.000000  71911470.000000  71911470.000000  71911470.000000
    5462.900000     5462.899806  45000000.000000   172428.000000    63047.000000     8229.000000    38885.162506    39993.608231    40162.684597    45737.853677      516.343196      650.299051      732.402535      733.078046    56510.452885    59319.306307    59844.428988    63632.498503  71911481.000000  71911481.000000  71911481.000000  71911481.000000
    5463.000000     5463.004675  45000000.000000   170548.000000    62384.000000     8154.000000    38300.028568    39520.080562    39494.789967    44905.103577      520.312059      678.619870      738.374109      685.276397    55917.946749    59029.931442    59210.233040    62760.900086  71911480.000000  71911480.000000  71911480.000000  71911480.000000
    5463.100000     5463.094567  45000000.000000   171064.000000    62579.000000     8184.000000    38822.096071    39721.311345    40106.656215    44863.686143      535.572086      695.888106      778.991575      756.264904    56337.424483    59332.779510    59799.356656    62863.890559  71911484.000000  71911484.000000  71911484.000000  71911484.000000
    5463.200000     5463.203190  45000000.000000   170445.000000    62355.000000     8163.000000    38186.042211    39652.017529    39214.670268    45081.196055      567.862455      700.900233      684.654631      753.230308    55609.413236    58956.882426    58909.590445    62956.019990  71911481.000000  71911481.000000  71911481.000000  71911481.000000
    5463.300000     5463.298708  45000000.000000   171135.000000    62597.000000     8185.000000    38258.055969    39953.584812    39427.259241    45276.123248      611.416422      743.480133      771.754013      799.904866    55878.765178    59265.855949    58900.348588    63200.464319  71911485.000000  71911485.000000  71911485.000000  71911485.000000
    5463.400000     5463.401721  45000000.000000   171370.000000    62691.000000     8197.000000    38017.343832    39489.803237    39949.224577    45292.432525      574.915596      783.965827      768.840342      787.757555    55400.467313    59161.246943    59653.389963    63307.444050  71911478.000000  71911478.000000  71911478.000000  71911478.000000
    5463.500000     5463.504738  45000000.000000   172584.000000    63121.000000     8248.000000    38698.177211    40519.393176    40703.939432    45429.769193      661.115182      783.149750      819.643664      826.301257    56558.505070    60275.543854    60467.254836    63422.004919  71911478.000000  71911478.000000  71911478.000000  71911478.000000
    5463.600000     5463.598394  45000000.000000   170844.000000    62492.000000     8173.000000    38890.579137    39771.034737    39097.044936    45374.024939      640.828711      747.562514      842.663681      885.155053    56319.669411    59482.374072    58996.025002    63647.918969  71911480.000000  71911480.000000  71911480.000000  71911480.000000
    5463.700000     5463.701419  45000000.000000   171210.000000    62630.000000     8193.000000    38494.443149    39787.014004    40041.961301    45262.163477      697.504809      810.342280      826.563018      879.014078    56176.102642    59346.793370    59594.960599    63411.469962  71911486.000000  71911486.000000  71911486.000000  71911486.000000
    5463.800000     5463.798829  45000000.000000   170684.000000    62456.000000     8170.000000    38711.933489    39862.867190    39413.190333    45438.621350      711.697212      840.761570      868.017133      894.276965    56286.641188    59450.487999    59143.657022    63639.415413  71911487.000000  71911487.000000  71911487.000000  71911487.000000
    5463.900000     5463.899989  45000000.000000   170043.000000    62220.000000     8146.000000    38753.136390    39889.302369    39792.751174    45086.449852      749.159451      921.810145      951.141600      940.841462    56218.345335    59678.409364    59459.632297    63270.647559  71911470.000000  71911470.000000  71911470.000000  71911470.000000
    5464.000000     5464.001153  45000000.000000   169818.000000    62138.000000     8131.000000    38579.209628    39602.513069    39549.445248    45006.947528      792.672781      908.573730      948.066582     1011.804549    56262.236089    59200.193754    59316.029641    63240.657083  71911482.000000  71911482.000000  71911482.000000  71911482.000000
    5464.100000     5464.102321  45000000.000000   169956.000000    62204.000000     8147.000000    38432.477579    39541.933877    39502.878138    44858.102271      823.040978      974.466573     1038.235474     1082.722862    56158.650124    59464.937123    59463.463540    63051.526343  71911479.000000  71911479.000000  71911479.000000  71911479.000000
    5464.200000     5464.197872  45000000.000000   169036.000000    61853.000000     8108.000000    37996.693641    39547.765295    38944.008253    44545.914200      871.564506     1053.445666     1063.398545     1130.288858    55853.214959    59315.045865    58740.654328    62720.880173  71911477.000000  71911477.000000  71911477.000000  71911477.000000
    5464.300000     5464.300922  45000000.000000   169250.000000    61951.000000     8120.000000    38000.459322    39571.646173    39364.180884    44869.177076      952.541765     1066.628923     1182.029784     1189.223992    55813.331961    59394.959865    59220.456940    63251.924844  71911466.000000  71911466.000000  71911466.000000  71911466.000000
    5464.400000     5464.398354  45000000.000000   169515.000000    62061.000000     8132.000000    37882.988315    39304.060096    39585.758729    44728.869472      923.174634     1142.578649     1177.121339     1251.055338    55782.898388    59328.829229    59905.919970    63197.688404  71911487.000000  71911487.000000  71911487.000000  71911487.000000
    5464.500000     5464.503286  45000000.000000   170040.000000    62257.000000     8151.000000    38823.469123    39271.984475    39010.177822    44743.003173     1073.189863     1253.960019     1267.104296     1337.254154    56654.734136    59147.026215    59259.698038    63286.178217  71911482.000000  71911482.000000  71911482.000000  71911482.000000
    5464.600000     5464.600726  45000000.000000   170501.000000    62412.000000     8177.000000    38348.553774    40045.730970    39662.209184    44962.663636     1100.466121     1295.810461     1321.031258     1511.759187    56385.374994    60329.945166    60076.302252    63672.638331  71911476.000000  71911476.000000  71911476.000000  71911476.000000
    5464.700000     5464.700044  45000000.000000   170911.000000    62575.000000     8190.000000    38718.040077    39680.943027    39693.128165    45001.039141     1307.161996     1490.314113     1570.331176     1596.023033    56994.140616    60186.552626    60367.918469    63955.586876  71911471.000000  71911471.000000  71911471.000000  71911471.000000
