# FDMNES program, Revision 20th of January 2022     
#    Date = 21 01 2022                              
#    Time = 10 h 48 mn 59 s                         
#        20000.0          1.25          15.0           0.0 = E_edge, Gamma_hole, Gamma_max, E_cut                                                                                                                                                                        
#       0.69430           0.0 = Shift                                                                                                                                                                                            
    Energy    <xanes>    
    28.400  8.3720992E-02
    28.600  8.3759301E-02
    28.800  8.3782003E-02
    29.000  8.3788995E-02
    29.200  8.3780245E-02
    29.400  8.3755793E-02
    29.600  8.3715754E-02
    29.800  8.3660311E-02
    30.000  8.3589722E-02
    30.200  8.3504309E-02
    30.400  8.3404460E-02
    30.600  8.3290625E-02
    30.800  8.3163312E-02
    31.000  8.3023082E-02
    31.200  8.2870542E-02
    31.400  8.2706345E-02
    31.600  8.2531179E-02
    31.800  8.2345766E-02
    32.000  8.2150853E-02
    32.200  8.1947210E-02
    32.400  8.1735621E-02
    32.600  8.1516881E-02
    32.800  8.1291790E-02
    33.000  8.1061147E-02
    33.200  8.0825749E-02
    33.400  8.0586382E-02
    33.600  8.0343820E-02
    33.800  8.0098820E-02
    34.000  7.9852118E-02
    34.200  7.9604429E-02
    34.400  7.9356438E-02
    34.600  7.9108805E-02
    34.800  7.8862157E-02
    35.000  7.8617088E-02
    35.200  7.8374159E-02
    35.400  7.8133895E-02
    35.600  7.7896784E-02
    35.800  7.7663277E-02
    36.000  7.7433788E-02
    36.200  7.7208694E-02
    36.400  7.6988332E-02
    36.600  7.6773006E-02
    36.800  7.6562979E-02
    37.000  7.6358482E-02
    37.200  7.6159711E-02
    37.400  7.5966827E-02
    37.600  7.5779964E-02
    37.800  7.5599225E-02
    38.000  7.5424689E-02
    38.200  7.5256410E-02
    38.400  7.5094416E-02
    38.600  7.4938703E-02
    38.800  7.4789236E-02
    39.000  7.4645945E-02
    39.200  7.4508747E-02
    39.400  7.4377564E-02
    39.600  7.4252344E-02
    39.800  7.4133060E-02
    40.000  7.4019681E-02
    40.600  7.3713862E-02
    41.200  7.3455619E-02
    41.800  7.3241845E-02
    42.400  7.3071351E-02
    43.000  7.2942846E-02
    43.600  7.2855744E-02
    44.200  7.2810430E-02
    44.800  7.2808163E-02
    45.400  7.2850944E-02
    46.000  7.2941334E-02
    46.600  7.3082229E-02
    47.200  7.3276610E-02
    47.800  7.3527258E-02
    48.400  7.3836466E-02
    49.000  7.4205743E-02
    49.600  7.4635533E-02
    50.200  7.5124957E-02
    50.800  7.5671600E-02
    51.400  7.6271347E-02
    52.000  7.6918299E-02
    52.600  7.7604764E-02
    53.200  7.8321345E-02
    53.800  7.9057121E-02
    54.400  7.9799928E-02
    55.000  8.0536724E-02
    55.600  8.1254028E-02
    56.200  8.1938410E-02
    56.800  8.2576998E-02
    57.400  8.3157981E-02
    58.000  8.3671059E-02
    58.600  8.4107830E-02
    59.200  8.4462077E-02
    59.800  8.4729948E-02
    60.400  8.4910025E-02
    61.000  8.5003278E-02
    61.600  8.5012914E-02
    62.200  8.4944143E-02
    62.800  8.4803869E-02
    63.400  8.4600341E-02
    64.000  8.4342774E-02
    64.600  8.4040977E-02
    65.200  8.3704987E-02
    65.800  8.3344753E-02
    66.400  8.2969842E-02
    67.000  8.2589213E-02
    67.600  8.2211026E-02
    68.200  8.1842502E-02
    68.800  8.1489833E-02
    69.400  8.1158125E-02
    70.000  8.0851380E-02
    70.600  8.0572510E-02
    71.200  8.0323379E-02
    71.800  8.0104873E-02
    72.400  7.9916991E-02
    73.000  7.9758956E-02
    73.600  7.9629348E-02
    74.200  7.9526250E-02
    74.800  7.9447402E-02
    75.400  7.9390362E-02
    76.000  7.9352663E-02
    76.600  7.9331955E-02
    77.200  7.9326122E-02
    77.800  7.9333372E-02
    78.400  7.9352288E-02
    79.000  7.9381836E-02
    79.600  7.9421343E-02
    80.200  7.9470438E-02
    80.800  7.9528976E-02
    81.400  7.9596953E-02
    82.000  7.9674414E-02
    82.600  7.9761383E-02
    83.200  7.9857800E-02
    83.800  7.9963477E-02
