#F /buffer/ld0132/Exafs/USERS/ELKE/GeO2.dat
#E 1371554237
#D Fri Jun 28 13:38:56 2013
#C experiment  User = opd01
#O0  samplez    omegax    omegay  solidstate     minix     miniy     miniz     sl03t
#O1    sl03b     sl03r     sl03l     dummy     sl01t     sl01b    dummy1   sl01gap
#O2  sl01off      mono      whip      tab1      tab2      tab3       xti       yti
#O3      hgt   pdslide     sl02l     sl02r   shutter     sl02b  beamstop     theta
#O4    omega      xeye     difz1     difz2   diftilt    difhgt   samplex   sampley
#O5 Mono  piz  POWDERmono    m_vert     sl01l     sl01r    sl01hg    sl01ho     piezo
#O6    mtest   spinner     blow1     blow2  
#C Fri Jun 28 13:41:45 2013.  do ToEXAFS.mac.
#C Fri Jun 28 13:42:05 2013.  Monochromator moved to E = 11.1025 KeV.

#S 1  zapline mono 10.3073 9.89985 7244 100 
#D Fri Jun 28 13:44:15 2013
#T 100  (ms)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G2 0
#Q 
#P0 1.25e-06 -0.19 -0.17 16 0.8 -5e-07 -7.5e-06 25.400002
#P1 19.900005 23.85 17.3 -127.466 38.224063 39.2 24.684375 77.424
#P2 -0.488 9.8998208 40 -1.1365 -0.95029948 -1.0415781 2.6600012 -0.01023379
#P3 -1.0424889 0.5 17.687812 -88.637812 0.99938125 -4.80094 -5 30.00001
#P4 0 30 2.46 2.46 0 2.46 -7.5e-07 0
#P5 78.623942 4.6116 -0.72625 47 35 82 6 0
#P6 7.573685 369 30 25 
#UMI0     Current AutoM      Shutter    
#UMI1      183.36    ON     FE open     
#UMI2 Refill in 26146 sec, Fill Mode: 7/8 multibunch / Message: Jun 28 09:04 Delivery:Next Refill at 21:00; 
#N 18
#L Mon    Det1  Det2  Det3  Det4  Det5  Det6  Ion1  MonEx  Ion2  Htime  MusstEnc1  MusstEnc3  MusstEnc4  TwoTheta  ZapEnergy  ZCryo  xmap_roi00
 11191 0 0 0 0 0 0 36576 11191 4702 99999 535786.5 598263 16 10.253618 11.107255 0 0
 11190 0 0 0 0 0 0 33665 11190 4355 100002 535605.5 598263 16 10.252713 11.108225 0 0
 11194 0 0 0 0 0 0 29338 11194 3833 99999 535424 598263 16 10.251806 11.109198 0 0
 11187 0 0 0 0 0 0 23411 11187 3119 100000 535241 598263 16 10.250891 11.110179 0 0
 11188 0 0 0 0 0 0 16970 11188 2344 100001 535057.5 598263 16 10.249973 11.111162 0 0
 11187 0 0 0 0 0 0 12711 11187 1834 100000 534876 598263 16 10.249065 11.112136 0 0
 11190 0 0 0 0 0 0 11545 11190 1693 100000 534698.5 598263 16 10.248178 11.113088 0 0
 11187 0 0 0 0 0 0 12541 11187 1816 100001 534519 598263 16 10.247281 11.114051 0 0
 11181 0 0 0 0 0 0 14474 11181 2050 99999 534336 598263 16 10.246366 11.115033 0 0
 11182 0 0 0 0 0 0 16190 11182 2258 100002 534153.5 598263 16 10.245453 11.116013 0 0
 11184 0 0 0 0 0 0 17512 11184 2419 100000 533972.5 598263 16 10.244548 11.116983 0 0
 11192 0 0 0 0 0 0 18189 11192 2504 100000 533793.5 598263 16 10.243653 11.117945 0 0
 11181 0 0 0 0 0 0 17824 11181 2459 100002 533613 598263 16 10.242751 11.118914 0 0
 11175 0 0 0 0 0 0 16826 11175 2339 99999 533431 598263 16 10.24184 11.119891 0 0
 11181 0 0 0 0 0 0 16528 11180 2306 99998 533248 598263 16 10.240926 11.120874 0 0
 11173 0 0 0 0 0 0 16783 11174 2336 100002 533066 598263 16 10.240016 11.121852 0 0
 11181 0 0 0 0 0 0 16919 11181 2355 100001 532887 598263 16 10.23912 11.122813 0 0
 11178 0 0 0 0 0 0 17040 11178 2368 100001 532709 598263 16 10.238231 11.12377 0 0
 11177 0 0 0 0 0 0 17499 11177 2425 99998 532528.5 598263 16 10.237329 11.124741 0 0
 11170 0 0 0 0 0 0 18119 11170 2502 100001 532346 598263 16 10.236416 11.125721 0 0
 11178 0 0 0 0 0 0 18731 11178 2579 100001 532162.5 598263 16 10.235498 11.126708 0 0
 11165 0 0 0 0 0 0 19113 11165 2626 100000 531983.5 598263 16 10.234603 11.12767 0 0
 11180 0 0 0 0 0 0 19224 11180 2640 100001 531805.5 598263 16 10.233713 11.128628 0 0
 11171 0 0 0 0 0 0 19120 11171 2629 100001 531622 598263 16 10.232796 11.129616 0 0
 11179 0 0 0 0 0 0 18954 11179 2611 99997 531440 598263 16 10.231886 11.130594 0 0
 11173 0 0 0 0 0 0 18825 11173 2594 100002 531257.5 598263 16 10.230973 11.131577 0 0
 11173 0 0 0 0 0 0 18868 11173 2601 100001 531074.5 598263 16 10.230059 11.132562 0 0
 11172 0 0 0 0 0 0 19052 11172 2627 100003 530896.5 598263 16 10.229168 11.13352 0 0
 11169 0 0 0 0 0 0 19330 11169 2661 99998 530723.5 598263 16 10.228303 11.134452 0 0
 11167 0 0 0 0 0 0 19633 11167 2701 100000 530554 598263 16 10.227456 11.135365 0 0
 11159 0 0 0 0 0 0 19929 11159 2733 99999 530391 598263 16 10.226641 11.136243 0 0
 11143 0 0 0 0 0 0 20182 11143 2769 100002 530233 598263 16 10.225851 11.137094 0 0
 11123 0 0 0 0 0 0 20410 11123 2797 100001 530068.5 598263 16 10.225028 11.13798 0 0
 11133 0 0 0 0 0 0 20707 11133 2836 100007 529918 598263 16 10.224276 11.138791 0 0
 11149 0 0 0 0 0 0 21088 11149 2883 99992 529780.5 598263 16 10.223588 11.139532 0 0
 11155 0 0 0 0 0 0 21415 11155 2923 100001 529637.5 598263 16 10.222874 11.140303 0 0
 11159 0 0 0 0 0 0 21725 11158 2963 100000 529502 598263 16 10.222196 11.141033 0 0
 11147 0 0 0 0 0 0 21987 11148 2997 100001 529370 598263 16 10.221536 11.141746 0 0
 11150 0 0 0 0 0 0 22228 11150 3027 99998 529235.5 598263 16 10.220863 11.14247 0 0
 11146 0 0 0 0 0 0 22485 11146 3060 100002 529034 598263 16 10.219856 11.143558 0 0
 11156 0 0 0 0 0 0 22776 11156 3096 100000 528730.5 598263 16 10.218338 11.145194 0 0
 11150 0 0 0 0 0 0 22931 11150 3116 100001 528431 598263 16 10.216841 11.146811 0 0
 11153 0 0 0 0 0 0 23020 11153 3132 100000 528195 598263 16 10.215661 11.148085 0 0
 11147 0 0 0 0 0 0 23059 11148 3137 100007 527993 598263 16 10.214651 11.149176 0 0
 11147 0 0 0 0 0 0 23105 11146 3146 99994 527807 598263 16 10.213721 11.15018 0 0
 11134 0 0 0 0 0 0 23127 11134 3150 99999 527628.5 598263 16 10.212829 11.151144 0 0
 11139 0 0 0 0 0 0 23157 11139 3155 100001 527449.5 598263 16 10.211933 11.152111 0 0
 11139 0 0 0 0 0 0 23152 11138 3154 100001 527267 598263 16 10.21102 11.153096 0 0
 11143 0 0 0 0 0 0 23147 11145 3156 100000 527085.5 598263 16 10.210114 11.154078 0 0
 11138 0 0 0 0 0 0 23113 11138 3152 100001 526905 598263 16 10.20921 11.155053 0 0
 11139 0 0 0 0 0 0 23078 11139 3153 99999 526725.5 598263 16 10.208313 11.156023 0 0
 11133 0 0 0 0 0 0 22995 11133 3143 100000 526546 598263 16 10.207416 11.156994 0 0
 11131 0 0 0 0 0 0 22894 11130 3132 100002 526365 598263 16 10.206511 11.157972 0 0
 11123 0 0 0 0 0 0 22726 11124 3116 99999 526183 598263 16 10.205601 11.158957 0 0
 11121 0 0 0 0 0 0 22563 11121 3094 100001 526000 598263 16 10.204686 11.159947 0 0
 11126 0 0 0 0 0 0 22419 11126 3076 100001 525819 598263 16 10.203781 11.160926 0 0
 11134 0 0 0 0 0 0 22319 11134 3066 100000 525639 598263 16 10.202881 11.161901 0 0
