  9809     KEK-PF   BL9A
 Fe010           22.05.11 17:26 - 22.05.11 18:33 Serial#KEKPF-BL9A_030107
 F2T0
 Ring :   2.5 GeV   425.1 mA -  449.9 mA
 Mono :   Si(111)       D=  3.13551 A    Initial angle= 13.93250 deg
 BL9A      Fluorescence( 3)   Repetition=  1     Points= 1426
 Param file : Std-EXAFS       energy axis(2)     Block =    6

 Block      Init-Eng  Final-Eng      Step/eV     Time/s       Num
     1        6606.20   7061.20         6.50       1.00        70
     2        7061.20   7076.20         1.00       1.00        15
     3        7076.20   7181.20         0.10       2.00      1050
     4        7181.20   7211.20         1.00       2.00        30
     5        7211.20   7611.20         2.50       3.00       160
     6        7611.20   8211.20         6.00       3.00       101
 Ortec(-1)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         3
  16.20365  16.20370      2.00   3285734     20984
  16.20342  16.20340      2.00   3283994     20974
  16.20318  16.20320      2.00   3281149     20807
  16.20295  16.20290      2.00   3282898     21002
  16.20271  16.20280      2.00   3284014     20842
  16.20248  16.20250      2.00   3285615     21022
  16.20224  16.20230      2.00   3284367     21016
  16.20201  16.20200      2.00   3286484     21023
  16.20177  16.20180      2.00   3286498     21078
  16.20154  16.20150      2.00   3284707     20907
  16.20130  16.20130      2.00   3285499     20921
  16.20107  16.20110      2.00   3285616     21011
  16.20083  16.20080      2.00   3285476     20927
  16.20060  16.20060      2.00   3284730     21092
  16.20036  16.20040      2.00   3284907     21152
  16.20013  16.20000      2.00   3284554     20962
  16.19989  16.19990      2.00   3284248     21011
  16.19966  16.19970      2.00   3285603     21102
  16.19942  16.19940      2.00   3282924     21150
  16.19919  16.19920      2.00   3282661     20968
  16.19896  16.19890      2.00   3281868     21179
  16.19872  16.19880      2.00   3281770     21223
  16.19849  16.19850      2.00   3282259     20944
  16.19825  16.19830      2.00   3284335     21171
  16.19802  16.19800      2.00   3284068     21131
  16.19778  16.19780      2.00   3284297     20966
  16.19755  16.19750      2.00   3286162     21258
  16.19731  16.19740      2.00   3287426     21292
  16.19708  16.19700      2.00   3284685     21265
  16.19684  16.19690      2.00   3284935     21291
  16.19661  16.19660      2.00   3283658     21202
  16.19637  16.19650      2.00   3280052     21210
  16.19614  16.19600      2.00   3277785     21358
  16.19590  16.19590      2.00   3275024     21199
  16.19567  16.19580      2.00   3276901     21217
  16.19543  16.19530      2.00   3278609     21278
  16.19520  16.19520      2.00   3278474     21298
  16.19496  16.19490      2.00   3275549     21411
  16.19473  16.19470      2.00   3275403     21129
  16.19449  16.19450      2.00   3276418     21259
  16.19426  16.19420      2.00   3274922     21329
  16.19402  16.19400      2.00   3275384     21375
  16.19379  16.19380      2.00   3273397     21238
  16.19356  16.19360      2.00   3272275     21238
  16.19332  16.19330      2.00   3273750     21173
  16.19309  16.19300      2.00   3274515     21212
  16.19285  16.19290      2.00   3272649     21385
  16.19262  16.19270      2.00   3269671     21321
  16.19238  16.19240      2.00   3270972     21242
  16.19215  16.19220      2.00   3272233     21202
  16.19191  16.19200      2.00   3272192     21252
  16.19168  16.19160      2.00   3271307     21180
  16.19144  16.19140      2.00   3270935     21360
  16.19121  16.19120      2.00   3273136     21377
  16.19097  16.19100      2.00   3271026     21356
  16.19074  16.19070      2.00   3269854     21357
  16.19050  16.19050      2.00   3270102     21419
  16.19027  16.19020      2.00   3269445     21186
  16.19004  16.19010      2.00   3268606     21130
  16.18980  16.18980      2.00   3266099     21139
  16.18957  16.18950      2.00   3267799     21290
  16.18933  16.18940      2.00   3267158     21230
  16.18910  16.18910      2.00   3267137     21482
  16.18886  16.18880      2.00   3266230     21262
  16.18863  16.18870      2.00   3268693     21392
  16.18839  16.18830      2.00   3269745     21346
  16.18816  16.18820      2.00   3267930     21365
  16.18792  16.18800      2.00   3263970     21269
  16.18769  16.18770      2.00   3263836     21321
  16.18746  16.18750      2.00   3262237     21257
  16.18722  16.18730      2.00   3262126     21375
  16.18699  16.18690      2.00   3264743     21325
  16.18675  16.18680      2.00   3265870     21329
  16.18652  16.18660      2.00   3264073     21256
  16.18628  16.18630      2.00   3264387     21312
  16.18605  16.18610      2.00   3265345     21617
  16.18581  16.18570      2.00   3263850     21296
  16.18558  16.18560      2.00   3263494     21482
  16.18534  16.18540      2.00   3263956     21424
  16.18511  16.18510      2.00   3263281     21348
  16.18488  16.18470      2.00   3264668     21285
  16.18464  16.18470      2.00   3265004     21349
  16.18441  16.18430      2.00   3260182     21172
  16.18417  16.18420      2.00   3261888     21131
  16.18394  16.18400      2.00   3260030     21133
  16.18370  16.18360      2.00   3258325     21444
  16.18347  16.18350      2.00   3259014     21179
  16.18324  16.18320      2.00   3260021     21410
  16.18300  16.18310      2.00   3259806     21617
  16.18277  16.18280      2.00   3259999     21601
  16.18253  16.18250      2.00   3261915     21478
  16.18230  16.18230      2.00   3260549     21357
  16.18206  16.18200      2.00   3257229     21467
  16.18183  16.18190      2.00   3255209     21507
  16.18159  16.18160      2.00   3253030     21456
  16.18136  16.18130      2.00   3254209     21585
  16.18113  16.18110      2.00   3255945     21451
  16.18089  16.18090      2.00   3255880     21448
  16.18066  16.18060      2.00   3254766     21414
  16.18042  16.18050      2.00   3252735     21279
  16.18019  16.18020      2.00   3253031     21599
  16.17995  16.17990      2.00   3251966     21475
  16.17972  16.17970      2.00   3253220     21673
  16.17949  16.17950      2.00   3253024     21613
  16.17925  16.17930      2.00   3252167     21433
  16.17902  16.17900      2.00   3250930     21563
  16.17878  16.17880      2.00   3249631     21621
  16.17855  16.17850      2.00   3246863     21523
  16.17831  16.17830      2.00   3249508     21538
  16.17808  16.17810      2.00   3250016     21559
  16.17785  16.17780      2.00   3248816     21316
  16.17761  16.17770      2.00   3248602     21516
  16.17738  16.17740      2.00   3250077     21422
  16.17714  16.17720      2.00   3250155     21521
  16.17691  16.17690      2.00   3248022     21491
  16.17667  16.17680      2.00   3245599     21654
  16.17644  16.17640      2.00   3247654     21490
  16.17621  16.17620      2.00   3245470     21576
  16.17597  16.17600      2.00   3244607     21662
  16.17574  16.17570      2.00   3245824     21583
  16.17550  16.17550      2.00   3246594     21658
  16.17527  16.17520      2.00   3245904     21736
  16.17504  16.17500      2.00   3243410     21842
  16.17480  16.17480      2.00   3242498     21513
  16.17457  16.17460      2.00   3245223     21673
  16.17433  16.17420      2.00   3243540     21648
  16.17410  16.17410      2.00   3243019     21614
  16.17386  16.17390      2.00   3243644     21622
  16.17363  16.17360      2.00   3243005     21776
  16.17340  16.17340      2.00   3242581     21579
  16.17316  16.17320      2.00   3243573     21700
  16.17293  16.17290      2.00   3242282     21804
  16.17269  16.17280      2.00   3239378     21788
  16.17246  16.17240      2.00   3234512     21561
  16.17223  16.17230      2.00   3237098     21693
  16.17199  16.17200      2.00   3238843     21589
  16.17176  16.17180      2.00   3240232     21723
  16.17152  16.17150      2.00   3239803     21666
  16.17129  16.17130      2.00   3237047     21692
  16.17106  16.17100      2.00   3238344     21898
  16.17082  16.17080      2.00   3233854     21676
  16.17059  16.17060      2.00   3232812     21846
  16.17035  16.17030      2.00   3231034     21645
  16.17012  16.17010      2.00   3234676     21848
  16.16989  16.16990      2.00   3231934     21766
  16.16965  16.16970      2.00   3231958     21996
  16.16942  16.16930      2.00   3222596     21984
  16.16918  16.16920      2.00   3221344     21786
  16.16895  16.16900      2.00   3217575     21747
  16.16872  16.16870      2.00   3218065     21915
  16.16848  16.16850      2.00   3218701     21864
  16.16825  16.16830      2.00   3217278     21560
  16.16801  16.16800      2.00   3215499     21849
  16.16778  16.16780      2.00   3216963     21969
  16.16755  16.16760      2.00   3217005     22038
  16.16731  16.16740      2.00   3214917     21932
  16.16708  16.16710      2.00   3215080     21941
  16.16684  16.16690      2.00   3217709     21946
  16.16661  16.16650      2.00   3217226     21980
  16.16638  16.16640      2.00   3215777     22054
  16.16614  16.16620      2.00   3216289     21908
  16.16591  16.16590      2.00   3217020     21908
  16.16567  16.16570      2.00   3216071     22138
  16.16544  16.16540      2.00   3218134     22198
  16.16521  16.16520      2.00   3219488     22296
  16.16497  16.16490      2.00   3218805     22264
  16.16474  16.16480      2.00   3215165     22340
  16.16451  16.16440      2.00   3216842     22346
  16.16427  16.16420      2.00   3217963     22215
  16.16404  16.16400      2.00   3215272     22251
  16.16380  16.16390      2.00   3214620     22173
  16.16357  16.16350      2.00   3216758     22289
  16.16334  16.16340      2.00   3218771     22408
  16.16310  16.16310      2.00   3218237     22560
  16.16287  16.16280      2.00   3217194     22143
  16.16263  16.16270      2.00   3218186     22322
  16.16240  16.16240      2.00   3218720     22396
  16.16217  16.16220      2.00   3218887     22410
  16.16193  16.16190      2.00   3219836     22529
  16.16170  16.16170      2.00   3220693     22493
  16.16147  16.16160      2.00   3218594     22477
  16.16123  16.16120      2.00   3216055     22642
  16.16100  16.16100      2.00   3217136     22441
  16.16076  16.16070      2.00   3216406     22774
  16.16053  16.16060      2.00   3215025     22743
  16.16030  16.16020      2.00   3217110     22767
  16.16006  16.16010      2.00   3218405     22602
  16.15983  16.15970      2.00   3217231     22853
  16.15960  16.15960      2.00   3218989     22784
  16.15936  16.15940      2.00   3216474     22801
  16.15913  16.15920      2.00   3216363     22894
  16.15889  16.15880      2.00   3216819     22675
  16.15866  16.15870      2.00   3217146     23103
  16.15843  16.15840      2.00   3217226     22862
  16.15819  16.15830      2.00   3218087     22894
  16.15796  16.15800      2.00   3216060     23011
  16.15773  16.15770      2.00   3217386     23062
  16.15749  16.15750      2.00   3219123     23119
  16.15726  16.15730      2.00   3219509     23077
  16.15703  16.15700      2.00   3217901     23192
  16.15679  16.15690      2.00   3218084     23009
  16.15656  16.15650      2.00   3216018     23102
  16.15632  16.15640      2.00   3215042     22984
  16.15609  16.15610      2.00   3213697     23189
  16.15586  16.15580      2.00   3216328     23293
  16.15562  16.15570      2.00   3217178     23345
  16.15539  16.15530      2.00   3213086     23280
  16.15516  16.15520      2.00   3215824     23294
  16.15492  16.15480      2.00   3214402     23367
  16.15469  16.15470      2.00   3214704     23280
  16.15446  16.15440      2.00   3214717     23538
  16.15422  16.15420      2.00   3214338     23563
  16.15399  16.15400      2.00   3214173     23526
  16.15376  16.15370      2.00   3215486     23383
  16.15352  16.15360      2.00   3217056     23547
  16.15329  16.15320      2.00   3218331     23590
  16.15305  16.15310      2.00   3212419     23602
  16.15282  16.15280      2.00   3228019     23713
  16.15259  16.15270      2.00   3228030     23850
  16.15235  16.15230      2.00   3231662     23883
  16.15212  16.15220      2.00   3229260     23964
  16.15189  16.15190      2.00   3225807     23963
  16.15165  16.15160      2.00   3229666     24110
  16.15142  16.15150      2.00   3228134     24134
  16.15119  16.15120      2.00   3226215     24328
  16.15095  16.15090      2.00   3228573     24399
  16.15072  16.15070      2.00   3228916     24310
