# XDI/1.0 BlueSky/1.5.0
# Beamline.name: BMM (06BM) -- Beamline for Materials Measurement
# Beamline.xray_source: NSLS-II three-pole wiggler
# Beamline.collimation: paraboloid mirror, 5 nm Rh on 30 nm Pt
# Beamline.focusing: not in use
# Beamline.harmonic_rejection: flat mirror, Si stripe, pitch = 2.00 mrad
# Detector.I0: 10 cm N2
# Detector.I1: 25 cm N2
# Detector.I2: 25 cm N2
# Detector.fluorescence: SII Vortex ME4 (4-element silicon drift)
# Detector.deadtime_correction: DOI: 10.1107/S0909049510009064
# Element.symbol: V
# Element.edge: K
# Facility.name: NSLS-II
# Facility.current: 0.0 mA
# Facility.energy: 3.0 GeV
# Facility.mode: top-off
# Facility.GUP: 303443
# Facility.SAF: 303928
# Mono.name: Si(111)
# Mono.d_spacing: 3.1356369 Å
# Mono.encoder_resolution: 0.0000050 deg/ct
# Mono.angle_offset: 16.0568400 deg
# Mono.scan_mode: pseudo channel cut
# Mono.scan_type: step
# Mono.direction: forward in energy
# Sample.x_position: -113.866 mm
# Sample.y_position: 95.228 mm
# Sample.name: Ca0.25V2O5
# Sample.prep: slurry dried on SS 200 mesh 1 M ZnSO4
# Scan.experimenters: Chris Patridge
# Scan.edge_energy: 5465.0
# Scan.start_time: 2019-03-21T08:45:01
# Scan.end_time: 2019-03-21T09:00:56
# Scan.transient_id: 6986
# Scan.uid: 48c3dcf1-020e-4671-8c71-cc0db04dff01
# Scan.plot_hint: (DTC1 + DTC2 + DTC3 + DTC4) / I0  --  ($8+$9+$10+$11) / $5
# Column.1: energy eV
# Column.2: requested_energy eV
# Column.3: measurement_time seconds
# Column.4: xmu 
# Column.5: I0 nA
# Column.6: It nA
# Column.7: Ir nA
# Column.8: DTC1 dead-time corrected count rate
# Column.9: DTC2 dead-time corrected count rate
# Column.10: DTC3 dead-time corrected count rate
# Column.11: DTC4 dead-time corrected count rate
# Column.12: ROI1 counts
# Column.13: ICR1 counts
# Column.14: OCR1 counts
# Column.15: ROI2 counts
# Column.16: ICR2 counts
# Column.17: OCR2 counts
# Column.18: ROI3 counts
# Column.19: ICR3 counts
# Column.20: OCR3 counts
# Column.21: ROI4 counts
# Column.22: ICR4 counts
# Column.23: OCR4 counts
# ///////////
# 48 hr rest
# -----------
# energy  requested_energy  measurement_time  xmu  I0  It  Ir  DTC1  DTC2  DTC3  DTC4  ROI1  ICR1  OCR1  ROI2  ICR2  OCR2  ROI3  ICR3  OCR3  ROI4  ICR4  OCR4
  5455.243  5455.250  0.500  18.940000  31.514662  0.000366  -0.001867  145.685233  138.822175  80.578778  231.801514  145.0  1567.0  1561.0  139.0  1437.0  1440.0  80.0  2864.0  2848.0  230.0  2716.0  2699.0
  5455.491  5455.500  0.500  20.274974  31.525078  0.000458  -0.003369  137.733769  164.876485  76.508000  260.051891  137.0  1573.0  1566.0  166.0  1442.0  1453.0  76.0  2738.0  2724.0  257.0  2741.0  2713.0
  5455.741  5455.750  0.500  19.796862  31.522486  0.000518  -0.006692  140.851401  150.908374  73.584493  258.702047  140.0  1543.0  1535.0  151.0  1423.0  1425.0  73.0  2826.0  2808.0  256.0  2815.0  2790.0
  5455.991  5456.000  0.500  19.372554  31.529497  0.000224  -0.007166  136.909257  158.909839  84.620556  230.367251  136.0  1559.0  1550.0  159.0  1449.0  1451.0  84.0  2761.0  2745.0  228.0  2742.0  2718.0
  5456.240  5456.250  0.500  19.570778  31.537656  0.000243  -0.011793  142.953928  142.724987  74.548074  256.989477  142.0  1549.0  1540.0  143.0  1457.0  1461.0  74.0  2749.0  2733.0  254.0  2774.0  2746.0
  5456.492  5456.500  0.500  18.345240  31.523268  0.000213  -0.005546  124.978043  137.931156  74.610692  240.782017  124.0  1584.0  1573.0  138.0  1495.0  1497.0  74.0  2692.0  2674.0  239.0  2718.0  2702.0
  5456.742  5456.750  0.500  20.527131  31.551924  0.000836  0.001423  153.911615  140.457928  90.767107  262.533825  153.0  1588.0  1580.0  141.0  1490.0  1497.0  90.0  2744.0  2725.0  260.0  2699.0  2677.0
  5456.993  5457.000  0.500  20.856933  31.531514  0.000169  -0.004960  144.148436  143.417960  83.520456  286.563818  143.0  1548.0  1537.0  144.0  1438.0  1445.0  83.0  2776.0  2763.0  285.0  2842.0  2831.0
  5457.244  5457.250  0.500  20.366903  31.543251  -0.000269  0.006363  152.114825  168.696989  81.537529  240.088986  151.0  1546.0  1536.0  169.0  1512.0  1516.0  81.0  2775.0  2761.0  238.0  2800.0  2780.0
  5457.494  5457.500  0.500  20.492966  31.556480  0.000427  0.000395  133.889200  157.713057  86.469837  268.613771  133.0  1559.0  1550.0  158.0  1502.0  1506.0  86.0  2872.0  2861.0  266.0  2817.0  2794.0
  5457.744  5457.750  0.500  21.400530  31.549874  0.000871  -0.005835  154.187628  150.597211  82.332591  288.066578  153.0  1617.0  1606.0  151.0  1436.0  1441.0  82.0  2884.0  2877.0  285.0  2873.0  2847.0
