#eBraggEnergy I0_EH1 I1_EH1 mu I1_EH2 IR_EH2 mu_ref
11081.481500032132 1519755 1469845 0.03339218460173067 1469845 790764 0.6199126652967447
11081.950924766938 1519863 1469919 0.0334129019854874 1469919 789859 0.6211081276950149
11082.509502352146 1519945 1470016 0.03340086490784199 1470016 789082 0.6221583195975808
11082.949091921382 1519925 1470031 0.033377502531899035 1470031 788268 0.6232006344264897
11083.493143800793 1519794 1470043 0.03328314729437209 1470043 787281 0.624461694259598
11083.94079886554 1519028 1469412 0.03320833585416516 1469412 786000 0.6256608073222357
11084.469653551481 1519158 1469480 0.03324763729147171 1469480 784899 0.6271088286105942
11084.953319965776 1519185 1469496 0.033254521990661354 1469496 783712 0.6286331579177594
11085.451669840868 1518531 1468913 0.03322074870234047 1468913 782256 0.6300958977564477
11085.963376490456 1518728 1469116 0.033212283048444986 1469116 780918 0.6319459876092677
11086.44784739841 1518519 1469163 0.033042666900322766 1469163 779491 0.6338069872864688
11086.972963684577 1518538 1469084 0.03310895257275439 1469084 777847 0.6358645095543939
11087.430237406725 1518018 1468646 0.033064648717993306 1468646 776068 0.6378560216647766
11087.967435630166 1518137 1468770 0.03305860939160521 1468770 774268 0.6402625279331492
11088.43478330802 1518149 1468771 0.03306583294376736 1468771 772297 0.6428120845957641
11088.962097776368 1518069 1468698 0.03306283845759867 1468698 770229 0.6454436997806585
11089.424873583264 1518116 1468778 0.033039329832737725 1468778 767904 0.6485213162060227
11089.964275765984 1518036 1468780 0.032985269873603236 1468780 765533 0.6516150799681836
11090.437131093679 1518003 1468722 0.03300302035724262 1468722 762759 0.6552057909437687
11090.97330779508 1517401 1468279 0.03290803631346265 1468279 759699 0.6589239434130658
11091.443590242972 1517379 1468307 0.032874467970339945 1468307 756495 0.6631693915543889
11091.987865350316 1517390 1468304 0.032883760458048514 1468304 752904 0.6679255425715899
11092.441582484882 1517804 1468697 0.03288894022466915 1468697 749196 0.673130260607619
11092.969303282633 1517749 1468593 0.03292351657837055 1468593 744897 0.6788141247740237
11093.443764638994 1517649 1468612 0.032844689891058876 1468612 740188 0.6851688080453802
