XDAC V1.4 Datafile V1
"Fe_trilayer.002" created on 6/27/11 at 2:22:40 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 7112.00
NUM_REGIONS= 4
SRB= -200 -20 30 60 13k
SRSS= 10 0.25 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 103.00 58.00 0.00 0.00 0.00 0.00 24.00 17.00 50.00 3391.00 10.00 10.00 8.00 19.00 89.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 9.00 1.00
Fe edge of Daniel's KCo hexacyanoferrate/KNi hexacyanochromate/KCo trilayer
N2 in I0, Vortex

--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    7096.74830     4411.0000     3705.0000      322.0000      226.0000      226.0000      195.0000    10044.0000    10312.0000    10520.0000     8770.0000    10094.0000    10351.0000    10576.0000    10034.0000    17733.0000        1.0000
    7096.99956     4416.0000     3709.0000      298.0000      214.0000      256.0000      196.0000    10004.0000    10348.0000    10787.0000     8758.0000    10041.0000    10369.0000    10848.0000    10320.0000    17754.0000        1.0000
    7097.25084     4415.0000     3710.0000      304.0000      228.0000      251.0000      173.0000    10024.0000    10163.0000    10583.0000     7353.0000    10073.0000    10200.0000    10657.0000    10251.0000    17754.0000        1.0000
    7097.50212     4410.0000     3705.0000      313.0000      253.0000      238.0000      212.0000    10052.0000    10474.0000    10580.0000     7543.0000    10100.0000    10520.0000    10648.0000    10372.0000    17735.0000        1.0000
    7097.74876     4415.0000     3710.0000      305.0000      226.0000      253.0000      185.0000     9947.0000    10469.0000    10539.0000     7411.0000    10007.0000    10490.0000    10622.0000    10223.0000    17750.0000        1.0000
    7098.00007     4415.0000     3710.0000      314.0000      232.0000      243.0000      180.0000    10011.0000    10357.0000    10519.0000     7738.0000    10086.0000    10397.0000    10590.0000    10263.0000    17764.0000        1.0000
    7098.25138     4417.0000     3712.0000      279.0000      228.0000      248.0000      206.0000     9948.0000    10302.0000    10710.0000     8834.0000    10010.0000    10334.0000    10767.0000    10197.0000    17769.0000        1.0000
    7098.49806     4409.0000     3706.0000      316.0000      225.0000      234.0000      172.0000     9887.0000    10376.0000    10619.0000     8937.0000     9936.0000    10418.0000    10676.0000    10279.0000    17740.0000        1.0000
    7098.74939     4415.0000     3711.0000      304.0000      202.0000      232.0000      216.0000     9854.0000    10309.0000    10581.0000     8434.0000     9893.0000    10332.0000    10649.0000    10037.0000    17767.0000        1.0000
    7099.00074     4413.0000     3708.0000      319.0000      212.0000      226.0000      197.0000     9933.0000    10463.0000    10477.0000     8910.0000     9994.0000    10499.0000    10521.0000    10240.0000    17756.0000        1.0000
    7099.25210     4420.0000     3716.0000      275.0000      242.0000      258.0000      206.0000    10054.0000    10525.0000    10549.0000     9119.0000    10105.0000    10574.0000    10597.0000    10270.0000    17787.0000        1.0000
    7099.49881     4416.0000     3713.0000      328.0000      213.0000      247.0000      165.0000     9999.0000    10281.0000    10574.0000     8860.0000    10040.0000    10306.0000    10615.0000    10141.0000    17774.0000        1.0000
    7099.75018     4416.0000     3713.0000      274.0000      207.0000      239.0000      201.0000     9913.0000    10501.0000    10699.0000     8253.0000     9955.0000    10543.0000    10760.0000    10206.0000    17777.0000        1.0000
    7100.00157     4418.0000     3715.0000      285.0000      241.0000      288.0000      196.0000     9761.0000    10397.0000    10893.0000     7787.0000     9824.0000    10444.0000    10970.0000    10244.0000    17786.0000        1.0000
    7100.24831     4419.0000     3716.0000      309.0000      210.0000      281.0000      189.0000     9999.0000    10243.0000    10668.0000     7601.0000    10047.0000    10278.0000    10728.0000    10030.0000    17796.0000        1.0000
