MRCAT_XAFS V0.4 Datafile
"Mn_MnO2_5B_kapton.002" created at APS 10BM on Tue Jul  9 15:35:15 2019 CDT
Ring energy= 7.00 GeV
E0= 6540.00
NUM_REGIONS= 1
SRB= 6390
SRSS= 0.35
SPP= 0.1
Settling time= 0


Offsets= 11317.00 11302.00 26173.00 14775.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
Gains= 8.00 8.00 10.00 9.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00 1.00
MnO2 5B kapton tape
3000 x 806
4 layers
------------------------------------------------------------------------------------------------
   energy       Io       It     Iref       If 
 6445.8061  64320 59300 127950 0
 6446.0996  64420 59380 128180 -10
 6446.3931  64400 59420 128470 0
 6446.6866  64430 59480 128810 -20
 6446.9819  64440 59510 128370 -20
 6447.279   64420 59460 128800 20
 6447.5743  64440 59530 128850 0
 6447.8714  64480 59530 128810 10
 6448.1721  64490 59550 129090 -10
 6448.471   64460 59590 129500 0
 6448.7682  64570 59640 129080 -10
 6449.0672  64500 59650 129380 0
 6449.3697  64580 59740 129220 0
 6449.6687  64500 59670 129600 -10
 6449.9626  64580 59770 129780 -10
 6450.2652  64580 59770 129590 -10
 6450.566   64620 59900 130440 10
 6450.86    64570 59900 130150 0
 6451.1574  64670 59990 130310 -10
 6451.4549  64670 60000 130640 -20
 6451.7506  64650 59960 130600 0
 6452.0481  64720 60040 130470 0
 6452.3475  64710 60060 130950 0
 6452.6485  64790 60130 131270 0
 6452.9461  64800 60160 131260 -10
 6453.242   64770 60180 131120 0
 6453.538   64910 60330 131800 -10
 6453.8339  64840 60250 131900 -10
 6454.1334  64970 60380 131670 10
 6454.4329  64950 60430 131980 -10
 6454.7324  65060 60500 132580 0
 6455.0355  65090 60560 132800 0
 6455.3369  65140 60630 132640 -10
 6455.6382  65240 60760 133120 -10
 6455.9379  65210 60750 133390 -10
 6456.2358  65190 60770 133440 0
 6456.5338  65060 60680 133270 0
 6456.8283  64800 60430 132760 0
 6457.1245  64370 60050 131540 -10
 6457.4261  63820 59530 130890 0
 6457.7242  63200 58990 129730 0
 6458.0205  62750 58570 128610 -10
 6458.3187  62780 58580 128620 0
 6458.6168  62990 58870 129780 -10
 6458.915   63290 59150 129770 -10
 6459.2132  63560 59420 130610 -10
 6459.5132  63810 59680 131110 0
 6459.8115  63990 59840 132200 0
 6460.1133  64030 59950 131570 -10
 6460.4152  64100 60020 132470 -10
 6460.7153  64220 60170 133080 0
 6461.0137  64270 60180 133090 10
 6461.3104  64330 60250 133120 10
 6461.6106  64440 60380 133440 0
 6461.9091  64350 60380 133520 -20
 6462.2076  64450 60470 134090 -10
 6462.5079  64460 60470 133490 0
 6462.8047  64480 60500 133830 -10
 6463.1033  64480 60500 133940 10
 6463.4019  64530 60600 134540 -10
 6463.6971  64570 60650 134530 -10
 6463.994   64580 60710 134170 -10
 6464.291   64620 60730 134630 0
 6464.5915  64620 60750 134790 -10
 6464.892   64620 60830 134880 0
 6465.1961  64660 60780 134630 0
 6465.5002  64750 60930 135150 0
 6465.8008  64680 60860 135110 10
 6466.1032  64720 60980 135780 0
 6466.4039  64700 60900 135480 -10
 6466.7028  64760 61020 135870 0
 6467       64730 61010 136260 -10
 6467.2991  64810 61140 135960 0
 6467.5981  64770 61110 135910 0
 6467.8972  64780 61160 136450 -10
 6468.1945  64810 61210 136620 0
 6468.4919  64760 61190 136560 -10
 6468.791   64860 61280 136800 10
 6469.0902  64780 61210 136610 -20
 6469.3894  64840 61310 136810 -10
 6469.6904  64860 61300 137020 10
 6469.9897  64940 61380 137410 0
 6470.289   64860 61310 136980 0
 6470.5901  64910 61420 137280 10
 6470.8929  64960 61440 137560 0
 6471.1923  65000 61560 137910 -10
 6471.4917  64920 61510 137540 -10
 6471.7947  65030 61600 138330 0
 6472.0977  64940 61540 138300 0
 6472.4007  65020 61620 138040 0
 6472.695   64970 61600 137830 -10
 6472.9928  65050 61650 138560 0
 6473.2941  65060 61680 138330 0
 6473.592   65050 61720 138550 -30
 6473.8916  65070 61790 138870 10
 6474.1913  65060 61770 138840 0
 6474.491   65070 61800 138920 10
 6474.7908  65040 61820 138820 0
 6475.0888  65180 61960 139580 0
 6475.3903  65040 61890 139340 0
 6475.6919  65110 62010 139290 0
 6475.9935  65130 61990 139640 -10
 6476.2987  65180 61980 139710 10
 6476.6021  65150 62020 139630 10
 6476.9074  65150 62070 140020 -10
 6477.2126  65140 62060 140090 0
 6477.5126  65180 62070 139970 0
 6477.8109  65180 62120 140250 0
 6478.111   65140 62090 140170 -40
 6478.4093  65240 62190 140200 10
 6478.7059  65220 62240 140770 10
 6479.006   65200 62250 140780 10
 6479.308   65260 62300 140520 10
 6479.6082  65140 62250 140880 0
 6479.9066  65230 62290 140990 0
 6480.2051  65230 62350 141280 -10
 6480.5054  65290 62450 141420 0
 6480.8057  65200 62360 141190 10
 6481.1061  65300 62440 141590 0
 6481.41    65270 62480 141520 0
 6481.714   65290 62510 141760 -10
 6482.0162  65330 62520 142000 0
 6482.3202  65360 62570 142250 10
 6482.6242  65280 62580 142370 -40
 6482.9247  65440 62670 142740 10
 6483.2253  65360 62650 142730 10
 6483.5276  65380 62720 142550 0
 6483.8265  65370 62760 142940 10
 6484.1271  65380 62780 143230 0
 6484.4296  65450 62830 142990 0
 6484.7303  65360 62750 143090 -10
 6485.0275  65450 62850 143520 20
 6485.3247  65390 62790 143390 0
 6485.6255  65490 62880 143440 0
 6485.9263  65430 62910 143420 -10
 6486.2289  65450 62910 143490 10
 6486.5316  65540 63010 143540 -10
 6486.8378  65440 62960 143410 10
 6487.1423  65500 63040 143930 -20
 6487.445   65470 63000 143720 0
 6487.7478  65500 63030 144470 0
 6488.0488  65510 63120 143990 0
 6488.3499  65500 63130 144180 20
 6488.6492  65600 63190 145100 0
 6488.9485  65510 63190 144270 -10
 6489.2479  65540 63170 144470 10
 6489.5509  65540 63220 144710 -10
 6489.8521  65580 63310 145090 10
 6490.1533  65590 63310 144940 10
 6490.4528  65610 63360 144990 0
 6490.7523  65570 63360 145140 0
 6491.0554  65590 63400 145410 0
 6491.3603  65580 63370 145430 10
 6491.6617  65570 63450 145530 -10
 6491.9649  65620 63500 145360 -20
 6492.2699  65640 63520 145800 0
 6492.5696  65610 63510 145680 10
 6492.8728  65650 63580 146230 10
 6493.1779  65630 63580 145920 0
 6493.4777  65700 63620 146120 -10
 6493.7757  65660 63650 146730 30
 6494.0809  65660 63660 146360 0
 6494.3808  65780 63770 146620 10
 6494.6807  65670 63700 146430 0
 6494.9859  65730 63780 146930 -10
 6495.2823  65730 63810 146540 0
 6495.5841  65760 63860 147200 -10
 6495.8912  65730 63860 147320 10
 6496.1895  65740 63940 146890 0
 6496.4931  65760 63890 147060 -20
 6496.8003  65750 63940 148000 0
 6497.1058  65740 63960 147680 10
 6497.4131  65740 63960 147660 10
 6497.7186  65790 64050 147640 0
 6498.017   65760 64020 147770 0
 6498.3191  65810 64070 148110 0
 6498.6247  65750 64050 148010 -10
 6498.9232  65810 64130 147990 10
 6499.2218  65760 64070 147830 0
 6499.5221  65840 64150 148410 10
 6499.8243  65820 64170 148580 -10
 6500.1265  65890 64280 148840 0
 6500.4305  65850 64290 148870 0
 6500.7346  65870 64290 148630 20
 6501.0387  65910 64350 149280 -40
 6501.3428  65890 64400 149370 10
 6501.6469  65930 64420 149280 0
 6501.9511  65870 64390 149100 10
 6502.257   65930 64470 148550 10
 6502.563   65900 64460 149100 -10
 6502.8673  65950 64510 149560 -20
 6503.1698  65960 64530 149450 0
 6503.4706  65940 64560 149280 10
 6503.7713  65970 64570 149450 0
 6504.0722  65930 64600 149210 -10
 6504.3766  65930 64640 150080 0
 6504.6774  65960 64640 149970 -10
 6504.9783  66020 64740 149810 10
 6505.281   65940 64690 149860 10
 6505.5856  66040 64790 150070 -20
 6505.8919  66000 64740 149940 0
 6506.1983  66060 64790 150320 10
 6506.5011  66090 64890 149960 0
 6506.8075  66040 64870 150200 10
 6507.1175  66100 64990 150620 0
 6507.4222  66050 64960 150510 -10
 6507.7252  66110 65030 150990 0
 6508.0246  66070 64990 150920 0
 6508.3276  66100 65070 150990 0
 6508.6307  66060 65000 150650 10
 6508.9319  66070 65060 150610 -10
 6509.2333  66120 65130 151130 0
 6509.5346  66110 65160 151050 0
 6509.836   66130 65200 151300 10
 6510.1374  66120 65170 150950 -30
 6510.4424  66160 65230 151420 0
 6510.7474  66140 65220 151160 0
 6511.0525  66140 65280 151430 20
 6511.3629  66190 65350 151930 -10
 6511.6716  66140 65310 151650 0
 6511.9785  66190 65360 151580 0
 6512.2819  66190 65410 151520 0
 6512.5854  66210 65420 151390 0
 6512.8906  66190 65400 151290 0
 6513.1923  66210 65430 151620 -10
 6513.4922  66180 65450 151000 10
 6513.7922  66240 65510 151860 -20
 6514.0958  66240 65510 151600 10
 6514.3976  66260 65570 151830 0
 6514.7012  66210 65540 151410 -30
 6515.0085  66240 65600 151960 10
 6515.3157  66240 65640 152410 10
 6515.6212  66270 65690 152070 10
 6515.9268  66290 65740 151670 10
 6516.2324  66260 65700 151930 0
 6516.538   66310 65810 151980 -10
 6516.8418  66310 65820 151970 0
 6517.1439  66310 65830 152160 0
 6517.4478  66380 65930 152290 0
 6517.7499  66360 65930 152120 -20
 6518.0539  66350 65960 151920 -10
 6518.3579  66320 65880 151360 10
 6518.6619  66360 65960 152030 0
 6518.966   66310 65940 151600 0
 6519.27    66390 66050 151860 -20
 6519.5742  66350 66040 151680 10
 6519.8783  66350 66090 152000 0
 6520.186   66300 66030 151580 20
 6520.4938  66340 66070 151560 -10
 6520.7981  66390 66150 151640 0
 6521.1023  66390 66160 151880 -10
 6521.4066  66370 66130 151230 0
 6521.7109  66380 66150 151180 10
 6522.0189  66370 66140 150800 -10
 6522.3232  66390 66190 150970 0
 6522.6259  66370 66210 151070 0
 6522.9321  66400 66220 150580 0
 6523.2383  66460 66310 150590 10
 6523.5428  66410 66290 150340 0
 6523.8456  66470 66330 150440 -40
 6524.1484  66410 66350 149970 0
 6524.4547  66420 66340 149460 20
 6524.7611  66380 66340 149700 0
 6525.0676  66510 66430 149670 10
 6525.3758  66460 66450 149200 0
 6525.6859  66480 66500 149150 -10
 6525.9961  66490 66510 148990 0
 6526.3026  66500 66530 148900 10
 6526.6038  66520 66570 147970 0
 6526.9087  66490 66550 147980 -20
 6527.2153  66560 66650 147750 0
 6527.5184  66520 66600 147030 0
 6527.8215  66540 66690 147220 0
 6528.1247  66560 66700 146910 0
 6528.4297  66590 66770 146130 -30
 6528.7329  66540 66730 145430 20
 6529.0361  66600 66770 144880 0
 6529.3448  66590 66820 144680 20
 6529.6571  66600 66840 144260 0
 6529.9658  66590 66840 143060 0
 6530.2727  66640 66900 142170 0
 6530.5797  66620 66890 141730 -10
 6530.8849  66640 66910 140900 20
 6531.1884  66630 66910 139720 -10
 6531.4901  66590 66860 138670 0
 6531.7954  66580 66930 137570 -10
 6532.1007  66600 66970 136510 10
 6532.4043  66670 66980 135460 -10
 6532.7097  66600 66950 133630 0
 6533.0151  66690 67010 132160 -20
 6533.3188  66600 66920 129790 10
 6533.6261  66700 67020 128150 10
 6533.9352  66770 67080 125720 0
 6534.2444  66680 67030 122740 10
 6534.5535  66660 67030 118940 0
 6534.8609  66700 66980 115630 -10
 6535.1684  66700 67020 111430 0
 6535.474   66720 67050 105640 0
 6535.7815  66710 67000 98490 0
 6536.0891  66720 67030 89820 0
 6536.3948  66770 67010 79590 0
 6536.6988  66770 67010 67510 0
 6537.0029  66710 66890 53800 0
 6537.3069  66790 66900 40450 10
 6537.611   66750 66750 29320 -30
 6537.9169  66820 66660 21380 10
 6538.2246  66760 66400 16650 10
 6538.5324  66740 66090 13530 10
 6538.8366  66810 65690 11530 0
 6539.1444  66800 65180 10140 0
 6539.4559  66820 64770 9180 0
 6539.7656  66710 64270 8350 0
 6540.0735  66800 64020 7780 0
 6540.3815  66770 63580 7500 0
 6540.6895  66810 63200 7200 0
 6540.9921  66820 62840 7080 0
 6541.2965  66850 62610 6900 0
 6541.6046  66900 62630 6890 -10
 6541.9091  66830 62600 6690 10
 6542.2082  66850 62840 6700 -20
 6542.511   66870 63170 6500 10
 6542.8192  66850 63380 6460 10
 6543.1256  66920 63690 6250 0
 6543.4375  66870 63840 6130 10
 6543.7475  66920 64010 5890 0
 6544.0577  66920 64130 5880 0
 6544.3696  66930 64220 5770 -10
 6544.678   67010 64380 5790 0
 6544.9846  66930 64380 5610 0
 6545.2912  66950 64430 5560 0
 6545.5997  66900 64380 5490 0
 6545.9046  66960 64370 5320 -10
 6546.2095  66920 64250 5090 20
 6546.5163  66910 64050 5020 10
 6546.8231  66960 63780 4870 -20
 6547.1281  66960 63550 4800 10
 6547.4349  66970 63160 4540 0
 6547.7418  66940 62730 4510 10
 6548.0505  67010 62310 4250 0
 6548.3629  66970 61700 4280 0
 6548.6735  66920 61010 4070 -10
 6548.9805  66980 60310 3930 0
 6549.2893  66980 59420 3890 10
 6549.6018  67010 58390 3860 0
 6549.9089  67080 57240 3730 0
 6550.2142  67080 55770 3500 0
 6550.5195  67050 54150 3540 0
 6550.8249  67040 52260 3360 0
 6551.1321  67000 50350 3200 10
 6551.4394  67080 48500 3230 -10
 6551.7466  67060 46770 3070 10
 6552.0521  67080 45410 3170 0
 6552.3576  67040 44420 3030 10
 6552.6668  67080 43670 2860 10
 6552.9778  67010 42970 2940 0
 6553.2871  67100 42410 2850 10
 6553.5945  67060 41720 2840 -10
 6553.9056  67030 40910 2780 10
 6554.2186  67190 40100 2670 0
 6554.5279  67070 39090 2730 10
 6554.8355  67190 38130 2760 0
 6555.1449  67080 36910 2660 -10
 6555.4507  67190 35630 2550 10
 6555.7566  67100 34220 2630 0
 6556.0643  67130 32740 2540 -10
 6556.3702  67170 31240 2500 0
 6556.6761  67100 29580 2540 30
 6556.9803  67130 27940 2310 20
 6557.2899  67200 26410 2430 0
 6557.5996  67190 24990 2440 0
 6557.9093  67170 23930 2330 10
 6558.2208  67180 23150 2390 0
 6558.5324  67200 22710 2500 0
 6558.8458  67140 22430 2380 10
 6559.1556  67180 22340 2430 0
 6559.4636  67220 22410 2380 10
 6559.7699  67270 22510 2500 0
 6560.0744  67250 22660 2350 10
 6560.3807  67220 22810 2510 10
 6560.687   67330 23000 2370 -20
 6560.9916  67220 23110 2430 20
 6561.3016  67300 23230 2360 10
 6561.6098  67270 23330 2450 10
 6561.9181  67250 23390 2440 10
 6562.2319  67310 23510 2510 0
 6562.5438  67280 23660 2480 10
 6562.8558  67310 23880 2560 0
 6563.1678  67380 24170 2470 10
 6563.4763  67280 24400 2440 0
 6563.7865  67340 24770 2480 10
 6564.1005  67300 25120 2550 -10
 6564.4054  67420 25520 2410 0
 6564.7121  67360 25780 2400 10
 6565.0207  67410 26050 2540 0
 6565.3257  67450 26210 2500 -10
 6565.6343  67470 26270 2520 10
 6565.9412  67450 26300 2420 0
 6566.2499  67420 26280 2470 20
 6566.5586  67460 26350 2480 0
 6566.8674  67430 26460 2430 10
 6567.178   67430 26610 2450 0
 6567.4886  67500 26880 2560 0
 6567.7993  67410 27140 2620 10
 6568.1082  67440 27470 2520 10
 6568.4207  67460 27820 2470 0
 6568.7333  67520 28170 2560 0
 6569.0332  67460 28410 2570 0
 6569.3422  67490 28650 2620 10
 6569.6585  67580 28870 2560 10
 6569.9603  67520 28960 2580 -20
 6570.2639  67530 29030 2590 10
 6570.5767  67530 29080 2530 0
 6570.884   67470 29090 2540 30
 6571.1932  67570 29070 2710 0
 6571.5043  67500 29010 2540 10
 6571.8172  67570 28940 2560 0
 6572.1319  67560 28800 2510 0
 6572.443   67590 28690 2550 20
 6572.7597  67630 28560 2540 0
 6573.0745  67570 28370 2580 0
 6573.3857  67660 28250 2520 10
 6573.697   67610 28060 2470 0
 6574.0083  67670 27950 2470 10
 6574.3159  67680 27830 2510 0
 6574.6237  67680 27720 2540 0
 6574.9296  67620 27630 2580 0
 6575.2355  67650 27550 2610 20
 6575.5433  67710 27510 2610 10
 6575.853   67730 27510 2670 10
 6576.1645  67740 27500 2570 0
 6576.476   67690 27500 2680 0
 6576.7876  67750 27600 2520 0
 6577.101   67740 27700 2650 10
 6577.4163  67740 27850 2470 10
 6577.7297  67780 28040 2520 0
 6578.0414  67770 28250 2520 10
 6578.3495  67830 28510 2590 0
 6578.6613  67830 28750 2630 10
 6578.973   67840 29060 2500 20
 6579.2794  67790 29340 2530 -10
 6579.5876  67850 29640 2580 0
 6579.8995  67820 29920 2480 20
 6580.2114  67890 30240 2600 10
 6580.516   67840 30530 2550 20
 6580.8243  67880 30840 2610 0
 6581.1381  67910 31170 2640 0
 6581.4465  67870 31470 2690 10
 6581.7586  67950 31830 2730 10
 6582.0743  67920 32130 2650 10
 6582.3864  67990 32470 2660 0
 6582.6986  67960 32780 2640 0
 6583.0108  67950 33120 2680 0
 6583.323   67980 33440 2580 20
 6583.6334  68010 33780 2560 0
 6583.9439  67940 34060 2690 0
 6584.2543  67980 34370 2710 -10
 6584.5649  67990 34680 2730 30
 6584.8754  68070 35020 2790 0
 6585.1842  68030 35260 2760 20
 6585.4929  68070 35520 2750 0
 6585.8017  68050 35790 2810 0
 6586.1106  68040 35990 2670 0
 6586.4249  68080 36270 2730 20
 6586.7393  68120 36520 2850 0
 6587.0537  68080 36730 2790 0
 6587.37    68130 36920 2670 10
 6587.6826  68050 37080 2670 0
 6587.9935  68140 37330 2680 10
 6588.3044  68110 37450 2710 0
 6588.6171  68150 37600 2890 -30
 6588.9244  68140 37720 2880 20
 6589.2317  68200 37850 2960 0
 6589.5391  68140 37900 2830 10
 6589.8464  68150 37980 2810 10
 6590.1575  68190 38050 2910 0
 6590.4704  68140 38020 2950 0
 6590.7834  68200 38050 2690 0
 6591.1     68170 38010 2840 20
 6591.4167  68240 38020 2760 0
 6591.7316  68240 37950 2730 10
 6592.0465  68200 37890 2850 -10
 6592.3615  68250 37850 2900 0
 6592.6746  68280 37810 2880 0
 6592.9823  68270 37740 3030 30
 6593.2882  68300 37690 2920 -40
 6593.5978  68320 37650 2950 20
 6593.9074  68310 37590 2890 20
 6594.2188  68380 37570 2820 10
 6594.5322  68290 37450 2850 10
